Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,PRCP,TMAX,TMIN,AWND
4.0,9.0,0.0,189.0,78.0,73.0
4.0,6.0,0.0,189.0,78.0,73.0
1.0,1.0,0.0,189.0,78.0,73.0
2.0,3.0,0.0,189.0,78.0,73.0
6.0,1.0,0.0,189.0,78.0,73.0
21.0,10.0,0.0,189.0,78.0,73.0
105.0,50.0,0.0,189.0,78.0,73.0
257.0,95.0,0.0,189.0,78.0,73.0
291.0,146.0,0.0,189.0,78.0,73.0
172.0,104.0,0.0,189.0,78.0,73.0
72.0,46.0,0.0,189.0,78.0,73.0
10.0,32.0,0.0,189.0,78.0,73.0
35.0,41.0,0.0,189.0,78.0,73.0
42.0,48.0,0.0,189.0,78.0,73.0
77.0,51.0,0.0,189.0,78.0,73.0
72.0,92.0,0.0,189.0,78.0,73.0
133.0,182.0,0.0,189.0,78.0,73.0
192.0,391.0,0.0,189.0,78.0,73.0
122.0,258.0,0.0,189.0,78.0,73.0
59.0,69.0,0.0,189.0,78.0,73.0
29.0,51.0,0.0,189.0,78.0,73.0
25.0,38.0,0.0,189.0,78.0,73.0
24.0,25.0,0.0,189.0,78.0,73.0
5.0,12.0,0.0,189.0,78.0,73.0
7.0,11.0,0.0,189.0,83.0,65.0
3.0,0.0,0.0,189.0,83.0,65.0
3.0,6.0,0.0,189.0,83.0,65.0
0.0,3.0,0.0,189.0,83.0,65.0
7.0,1.0,0.0,189.0,83.0,65.0
15.0,11.0,0.0,189.0,83.0,65.0
91.0,51.0,0.0,189.0,83.0,65.0
230.0,89.0,0.0,189.0,83.0,65.0
284.0,134.0,0.0,189.0,83.0,65.0
147.0,94.0,0.0,189.0,83.0,65.0
67.0,53.0,0.0,189.0,83.0,65.0
53.0,55.0,0.0,189.0,83.0,65.0
54.0,50.0,0.0,189.0,83.0,65.0
55.0,71.0,0.0,189.0,83.0,65.0
63.0,56.0,0.0,189.0,83.0,65.0
73.0,74.0,0.0,189.0,83.0,65.0
114.0,161.0,0.0,189.0,83.0,65.0
154.0,353.0,0.0,189.0,83.0,65.0
137.0,241.0,0.0,189.0,83.0,65.0
57.0,107.0,0.0,189.0,83.0,65.0
27.0,56.0,0.0,189.0,83.0,65.0
31.0,39.0,0.0,189.0,83.0,65.0
25.0,21.0,0.0,189.0,83.0,65.0
11.0,30.0,0.0,189.0,83.0,65.0
4.0,7.0,0.0,217.0,89.0,57.0
4.0,4.0,0.0,217.0,89.0,57.0
4.0,3.0,0.0,217.0,89.0,57.0
2.0,2.0,0.0,217.0,89.0,57.0
7.0,2.0,0.0,217.0,89.0,57.0
